from.id	from.cord	to.id	to.cord
77	3080000	157	6280000
158	6320000	167	6680000
172	6880000	183	7320000
184	7360000	214	8560000
215	8600000	235	9400000
237	9480000	240	9600000
242	9680000	250	10000000
251	10040000	254	10160000
255	10200000	261	10440000
262	10480000	277	11080000
278	11120000	285	11400000
295	11800000	315	12600000
316	12640000	328	13120000
329	13160000	349	13960000
350	14000000	385	15400000
386	15440000	432	17280000
433	17320000	483	19320000
484	19360000	503	20120000
504	20160000	519	20760000
520	20800000	553	22120000
554	22160000	603	24120000
604	24160000	656	26240000
657	26280000	688	27520000
689	27560000	722	28880000
723	28920000	752	30080000
753	30120000	824	32960000
825	33000000	901	36040000
902	36080000	916	36640000
917	36680000	927	37080000
929	37160000	936	37440000
937	37480000	945	37800000
948	37920000	951	38040000
953	38120000	966	38640000
968	38720000	992	39680000
993	39720000	996	39840000
997	39880000	1004	40160000
1005	40200000	1059	42360000
1060	42400000	1087	43480000
1090	43600000	1133	45320000
1134	45360000	1238	49520000
1241	49640000	1265	50600000
1271	50840000	1338	53520000
1339	53560000	1418	56720000
1419	56760000	1450	58000000
